Name,card_title,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Concurrency Control,Foreign Keys,Indexes,Isolation Levels,Joins,Logging,Query Compilation,Query Execution,Storage Architecture,Storage Model,Storage Organization,Stored Procedures,Views,Twitter,Inspired By,Compatible With,Wikipedia,Checkpoints,Compression,Former Name,Derived From,Storage Format
3store,3store,"3store is an RDF ""triple store"", written in C and backed by MySQL and Berkeley DB. It is an optimization and port of an older triple store (WebKBC). It provides access to the RDF data via RDQL or SPARQL over HTTP, on the command line or via a C API.",Triplestore (RDF),SPARQL,Shared-Everything,http://threestore.sourceforge.net/,https://sourceforge.net/projects/threestore/,http://threestore.sourceforge.net/documentation.php,Southampton University,GB,2003.0,2006.0,"Academic,Open Source",C,C,"Berkeley DB,MySQL",GPL v2,,,,,,,,,,,,,,,,,,,,,,,
4store,4store,,Triplestore (RDF),SPARQL,,https://4store.danielknoell.de/,https://github.com/4store/4store,,,GB,2009.0,,Open Source,C,,,GPL v3,,,,,,,,,,,,,,,,,,,,,,,
abhot,abhot,"abhot (""A Brief History Of Time"") is a time-series database management system. It is a fork of KairosDB.",,,,https://github.com/quqiangsheng/abhot,https://github.com/quqiangsheng/abhot,,,CN,2017.0,,"Academic,Open Source",Java,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
accumulo,Accumulo,"Apache Accumulo is a sorted, distributed key-value store based on Google's Bigtable, HDFS and Apache Zookeeper. First designed and developed by a team in NSA, Accumulo's mission is to support big data storing and processing, but at the same time enforce fine-grained data access control. In particular, the team in NSA extends Bigtable in a way that Accumulo can control the access of individual data elements. Accumulo is currently an open source project under Apache v2 license.",Column Family,"Custom API,Command-line / Shell",Shared-Disk,http://accumulo.apache.org/,https://github.com/apache/accumulo,https://accumulo.apache.org/docs/2.x/,US National Security Agency,US,2008.0,,Open Source,Java,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
acedb,AceDB,"AceDB (""a C. elegans database"") is a biological database for handling genomic data. It was developed by Richard M. Durbin and Jean Thierry-Mieg in 1989.",,,,http://www.acedb.org/,https://github.com/richarddurbin/acedb,,"Richard M. Durbin, Jean Thierry-Mieg",GB,1989.0,2018.0,"Academic,Open Source",C,,,"GPL v2,LGPL v2",,,,,,,,,,,,,,,,,,,,,,,
actordb,ActorDB,"ActorDB is a distributed relational SQL database, which is strongly consistent, massively concurrent, and horizontally scalable. It supports no single point of failure and uses no global read or write locks. To achieve the features provided, ActorDB uses Raft distributed consensus algorithm on top of an existing stable SQL database engine. ActorDB splits the dataset into small independent chunks, which is inspired by the ""Actor Model"". The database is designed for microservices, saas solutions, and (mobile) app backends.",Relational,"Custom API,SQL",Shared-Nothing,http://www.actordb.com/,https://github.com/biokoda/actordb,http://www.actordb.com/docs-about.html,Biokoda,SI,2014.0,,"Commercial,Open Source",Erlang,Erlang,"LMDB,SQLite",Mozilla Public License,"Linux,OS X,Windows",,,,,,,,,,,,,,,,,,,,,,
aerospike,Aerospike,Aerospike is a distributed key-value DBMS. It is mainly targeted at OLTP workloads with large number of transactions. It is developed by a company of the same name.,Key/Value,Custom API,Shared-Nothing,http://www.aerospike.com/,https://github.com/aerospike/aerospike-server,https://www.aerospike.com/docs/,"Aerospike, Inc.",US,2009.0,,"Commercial,Open Source",C,"C,C#,C++,Go,PHP,Python,Ruby,Rust",,AGPL v3,Linux,,,,,,,,,,,,,,,,,,,,,,
agatedb,AgateDB,"AgateDB is an embeddable, persistent key-value DBMS written in Rust. It is built by Pingcap as a replacement for,TiKV,.",Key/Value,Custom API,Embedded,https://github.com/tikv/agatedb,https://github.com/tikv/agatedb,,PingCAP,CN,2019.0,,"Industrial Research,Open Source",Rust,Rust,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
agensgraph,AgensGraph,"AgensGraph is a multi-model database based on PostgreSQL RDBMS, and supports both relational and graph data models. AgensGraph enables developers to integrate the legacy relational data model and the flexible graph data model in one database. AgensGraph supports Ansi-SQL and Open Cypher. SQL queries and Cypher queries can be integrated into a single query in AgensGraph. AgensGraph provides database features essential to the enterprise database environment including ACID transactions, multi-version concurrency control, stored procedure, triggers, constraints, sophisticated monitoring and a flexible data model (JSON). AgensGraph is designed to offer all the features provided by PostgreSQL and process graph queries using Cypher, a graph query language. Internally, they are largely divided into the PostgreSQL processor and the Graph processor, both of which jointly use cache and transaction areas. Users may take advantage of better performance and more convenient implementation by simultaneously performing SQL and Cypher queries on a single query.","Relational,Key/Value,Document / XML,Graph","SQL,Cypher",Shared-Everything,http://bitnine.net/agensgraph/,https://github.com/bitnine-oss/agensgraph,http://bitnine.net/documentation/,"Bitnine Co, Ltd.",US,2013.0,,"Commercial,Open Source",C,,,Apache v2,"Linux,OS X,Windows",,,,,,,,,,,,,,,,,,,,,,
akdb,AKDB,"AKDB (""Avtomat Kalasnikova Database"") is an educational relational DBMS developed at the University of Zagreb.",Relational,SQL,Shared-Everything,https://ailab-foi.github.io/akdb/,https://github.com/AILab-FOI/akdb,,University of Zagreb,HR,2009.0,,"Academic,Educational,Open Source",C,,,,"Linux,OS X,Windows",,,,,,,,,,,,,,,,,,,,,,
akumuli,Akumuli,Akumuli is a time-series DBMS.,,Custom API,,http://akumuli.org/,https://github.com/akumuli/Akumuli,https://docs.akumuli.org/,,RU,2013.0,,Open Source,C++,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
akutan,Akutan,Akutan is a distributed knowledge graph DBMS written in Go.,Triplestore (RDF),Custom API,Shared-Nothing,https://github.com/eBay/akutan,https://github.com/eBay/akutan,,eBay,US,2019.0,,"Industrial Research,Open Source",Go,,RocksDB,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
alasql,AlaSQL,AlaSQL is a relational DBMS designed to run in web browsers and JavaScript-based application servers (Node.js). It supports both relational tables and document-oriented collections (JSON).,"Relational,Document / XML",SQL,,http://alasql.org,https://github.com/agershun/alasql,https://github.com/agershun/alasql/wiki,Andrey Gershun,RU,2014.0,,Open Source,JavaScript,JavaScript,,MIT,,,,,,,,,,,,,,,,,,,,,,,
alchemydb,AlchemyDB,"AlchemyDB is a NewSQL RDBMS built on top,Redis,.",Relational,SQL,Shared-Everything,https://code.google.com/p/alchemydatabase/,https://github.com/JakSprats/Alchemy-Database,https://code.google.com/archive/p/alchemydatabase/wikis,Russell Sullivan,US,2010.0,2012.0,"Commercial,Open Source",C,,,AGPL v3,,,,,,,,,,,,,,,,,,,,,,,
alenka,Alenka,Alenka is a GPU-based query execution engine.,Relational,SQL,,https://github.com/antonmks/Alenka,,,,US,2012.0,2017.0,Open Source,C,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
altibase,Altibase,"Atibase is a relational open-source database management system that is compatible and interoperable with Oracle. Atibase is a hybrid database – data can be stored and manipulated in main memory alone, and physical disk alone, or a combination of both. Altibase is an in-memory database, and its utilization of server-side and client-side sharding architecture allows for a linear performance enhancement without coordinator-related bottlenecks, regardless of the number of servers added. In addition, Altibase can be used as a front-end solution to Oracle, specifically acting as a user interface that allows users the access of raw, structured, or tabular data within the application.",Relational,SQL,Shared-Nothing,http://altibase.com/,https://github.com/ALTIBASE/altibase,https://github.com/ALTIBASE/Documents,Altibase Corp.,KR,1999.0,,"Commercial,Open Source","C,C++","C,C++,Java",,AGPL v3,"AIX,HP-UX,Linux,Windows",,,,,,,,,,,,,,,,,,,,,,
angstromdb,AngstromDB,"AngstromDB is a NoSQL key-value DBMS based on,LMDB,.",Key/Value,,,https://github.com/Amaury/AngstromDB,https://github.com/Amaury/AngstromDB,,Amaury Bouchard,FR,2013.0,2013.0,"Hobby,Open Source",C,,,Apache v2,Linux,,,,,,,,,,,,,,,,,,,,,,
antdb,AntDB,AntDB is a distributed DBMS forked from PostgreSQL.,Object-Relational,SQL,,https://www.asiainfo.com/en_us/product_aisware_antDB.html,https://github.com/ADBSQL/AntDB,https://adbsql.github.io/docs/,AsiaInfo,CN,,,"Commercial,Open Source",C,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
antidote,Antidote,AntidoteDB is a geo-replicated key-value DBMS that uses CRDTs to synchronize changes between nodes.,Key/Value,SQL,,https://www.antidotedb.eu/,https://github.com/AntidoteDB/antidote,https://antidotedb.gitbook.io/documentation/,SyncFree European Project,FR,2015.0,,"Academic,Open Source",Erlang,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
aodbm,AODBM,"AODBM (""append only database manager"") is designed in the style of dbm.",,,,https://github.com/DanielWaterworth/AODBM,https://github.com/DanielWaterworth/AODBM,,Daniel Waterworth,GB,2011.0,2011.0,Open Source,C,,,LGPL v3,,,,,,,,,,,,,,,,,,,,,,,
arakoon,Arakoon,Arakoon was a distributed key-value store with strong consistency guarantees.,,,,http://arakoon.org/,https://github.com/Incubaid/arakoon,,Incubaid,BE,2010.0,2015.0,Open Source,Ocaml,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
arangodb,ArangoDB,"ArangoDB is a multi-model mostly-memory database. It supports key-value, documents, and graphs stores with JSON data format. ArangoDB stores all data in persistent storage to provide durability. However, to efficiently use ArangoDB, the frequently accessed pages, or equivalently called the working set, should be able to fit into the main memory. At the same time, unlike most NoSQL databases, ArangoDB supports join operation and allows users to specify either multi-collections transactions for ACID properties or standard single-document transactions for performance boosting.",,,,https://www.arangodb.com,https://github.com/arangodb/arangodb,,ArangoDB GmbH,DE,2011.0,,"Commercial,Open Source",C++,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
arcadedb,ArcadeDB,ArcadeDB is a multi-model DBMS created as a fork from OrientDB.,,,,https://arcadedb.com/,https://github.com/ArcadeData/arcadedb,,Arcade Data Ltd,GB,2021.0,,"Commercial,Open Source",Java,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
ardb,Ardb,Ardb is a Redis-compatible NoSQL DBMS that is designed to support multiple storage backends.,,,,https://github.com/yinqiwen/ardb,https://github.com/yinqiwen/ardb,,Yinqi Wen,CN,2013.0,,Open Source,C++,,,BSD,,,,,,,,,,,,,,,,,,,,,,,
aresdb,AresDB,"AresDB is a GPU-based real-time analytics database with low memory overhead, real-time upserts with primary key deduplication, and time series aggregations on both streaming and finite dimensional data, including geofences.",,,,https://eng.uber.com/aresdb/,https://github.com/uber/aresdb,,Uber,US,2018.0,,Open Source,"C,C++,Go",,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
asami,Asami,Asami is a graph-oriented DBMS written in Clojure.,,,,https://github.com/quoll/asami,https://github.com/quoll/asami,,"Cisco, Paula Gearon",US,2018.0,,"Hobby,Open Source",Clojure,,,Eclipse Public License,,,,,,,,,,,,,,,,,,,,,,,
assassin,Assassin,"Assassin is a decentralized key-value DBMS written in JavaScript. It uses a peer-to-peer protocol to replicate data across multiple machines. It stores its meta-data catalog on top of the,Hyperdrive,distributed filesystem.",,,,https://assassin-demo.surge.sh/,https://github.com/genderev/assassin,,Ender Minyard,US,2020.0,,Open Source,JavaScript,,,MIT,,,,,,,,,,,,,,,,,,,,,,,
asterixdb,AsterixDB,"AsterixDB is a DBMS that is highly parallel and, consequently, highly scalable. It has its own semi-structured data model similar to JSON/XML, as well as a custom query interface (SQL++) that incorporates much of SQL’s original functionality as well as new features. It partitions its data based on hashing and has a custom query execution engine, Apache Hyracks, to ensure that query plans take advantage of this partitioning and parallelize as much as possible.",,,,https://asterixdb.apache.org/,https://github.com/apache/asterixdb,,University of California-Irvine and University of California-Riverside,US,2009.0,,"Academic,Open Source",Java,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
atlas,Atlas,Atlas is a dimensional time series data database management system for near real-time operational analytics.,,,,https://github.com/Netflix/atlas,https://github.com/Netflix/atlas,,Netflix,US,2014.0,,Open Source,Scala,,,,,,,,,,,,,,,,,,,,,,,,,,
aviondb,AvionDB,"AvionDB is decentralized document DBMS built on top of,IPFS,. It uses,OrbitDB,for its database storage at each node.",,,,https://github.com/dappkit/aviondb,https://github.com/dappkit/aviondb,,DappKit,"US,IN",2020.0,,"Commercial,Open Source",JavaScript,,,MIT,,,,,,,,,,,,,,,,,,,,,,,
axion,Axion,Axion is a relational database system supporting SQL and JDBC written in and for the Java programming language.,,,,http://axion.tigris.org/,http://axion.tigris.org/source/browse/axion/,,,US,2002.0,2007.0,Open Source,Java,,,,,,,,,,,,,,,,,,,,,,,,,,
badgerdb,BadgerDB,"Badger started as a key-value store, so the goal was to use the latest research to build a key-value store. It uses a log-structured merge (LSM) tree based implementation, which has an advantage in throughput when compared to B+ tree since background (disk) writes in LSM maintain a sequential access pattern.",,,,https://github.com/dgraph-io/badger,,,Dgraph,US,2017.0,,Open Source,Go,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
bagri,Bagri,"Bagri is a document-oriented DBMS designed to run on top of a distributed cache (e.g., Hazelcast, Coherence).",,,,http://bagridb.com,https://github.com/dsukhoroslov/bagri,,,RU,2014.0,,Open Source,Java,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
baikaldb,BaikalDB,BaikalDB is a distributed OLTP database system created by Baidu.,,,,http://baikaldb.com/,https://github.com/baidu/BaikalDB,,Baidu,CN,2018.0,,Open Source,C++,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
bangdb,BangDB,,,,,http://bangdb.com/,https://github.com/sachin-sinha/BangDB,,IQLECT,IN,2015.0,,"Commercial,Open Source",C,,,BSD,,,,,,,,,,,,,,,,,,,,,,,
basex,BaseX,BaseX is a light-weight XML database management system and XQuery processor.,,,,http://basex.org/,https://github.com/BaseXdb/basex,,,DE,2007.0,,"Academic,Open Source",Java,,,BSD,,,,,,,,,,,,,,,,,,,,,,,
bayesdb,BayesDB,BayesDB is a probabilistic programming platform that provides built-in non-parametric Bayesian model discovery.,,,,http://probcomp.csail.mit.edu/software/bayesdb/,https://github.com/probcomp/bayeslite,,Massachusetts Institute of Technology,US,2015.0,,"Academic,Open Source",Python,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
bbolt,bbolt,"bbolt is a fork of the abandoned,BoltDB,project. The authors are maintaining the system with performance enhancements and additional features not found in the original BoltDB system.",,,,https://go.etcd.io/bbolt,https://github.com/etcd-io/bbolt,,CoreOS,US,2017.0,,Open Source,Go,,,MIT,,,,,,,,,,,,,,,,,,,,,,,
bboxdb,BBoxDB,BBoxDB is a distributed DBMS that supports bounding box queries on multi-dimensional data.,,,,https://bboxdb.org/,https://github.com/jnidzwetzki/bboxdb,,Jan Nidzwetzki,DE,2015.0,,Open Source,Java,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
beagle-sql,Beagle SQL,,,,,http://www.beaglesql.org/,https://github.com/jonahharris/osdb-beaglesql,,"Robert Klein, Jean-Claude Magras",US,1996.0,1999.0,Open Source,C++,,,,,,,,,,,,,,,,,,,,,,,,,,
bedrock,Bedrock,"Bedrock is a networking and distributed transaction layer built on top of SQLite. It is a distributed relational database management system designed for geo-replication. It was initially made for (and is owned by) Expensify, the expense management company.",Relational,,,http://bedrockdb.com/,https://github.com/Expensify/Bedrock,https://github.com/Expensify/Bedrock/tree/master/docs,Expensify,US,2016.0,,Open Source,C++,C++,,,,,,,,,,,,,,,,,,,,,,,,,
bergdb,BergDB,"BergDB is an embedded, document-oriented, schemaless, NoSQL DBMS for Java and .NET applications.",Document / XML,,,http://bergdb.com/,http://bergdb.com/releases.html,,Frans Lundberg,SE,2013.0,,Open Source,Java,,,,,,,,,,,,,,,,,,,,,,,,,,
beringei,Beringei,"Beringei is an embedded in-memory storage engine for time series data developed by Facebook. It was developed by Facebook to handle the growing scale of their system health monitoring data, as they needed a faster solution to storing constant stream of time series data, as well as a fast way to query this data.",Key/Value,,,https://code.fb.com/core-data/beringei-a-high-performance-time-series-storage-engine/,https://github.com/facebookarchive/beringei,http://www.vldb.org/pvldb/vol8/p1816-teller.pdf,Facebook,US,2015.0,2017.0,Open Source,C++,C++,,,,,,,,,,,,,,,,,,,,,,,,,
berkeley-db,Berkeley DB,"BerkeleyDB (sometimes referred to as simply ""BDB"") is an embedded open-source, database storage library. The simplicity arises from the fact that it is a basic key-value store and not a full-fledged database system that provides querying and schema constraints. It offers flexibility by being schema-less and by providing convenient mechanisms to include and discard features. BerkeleyDB provides complete ACID compliance through its five subsystems, namely, caching, datastore, locking, logging and recovery. All these five subsystems are implemented using concepts like two-phase locking, undo/redo write-ahead logging, etc. This enables it to offer high performance for a variety of workloads and handle very large-sized key-vale stores (order of Terabytes). Due to these properties, many applications like filesystems, LDAP servers and database systems (like MySQL) use BerkeleyDB for their backend storage requirements.","Key/Value,Document / XML",,,http://www.oracle.com/technetwork/database/database-technologies/berkeleydb/overview/index.html,https://github.com/berkeleydb/libdb,,Sleepycat Software,US,1994.0,,"Commercial,Open Source",,"C++,Clojure,D,Delphi,Eiffel,Erlang,Go,Haskell,Java,JavaScript,Lisp,Lua,Matlab,Ocaml,Perl,PHP,PL/SQL,Prolog,Python,R,Rebol,Ruby,Scala,Smalltalk,Tcl,Visual Basic",,,,,,,,,,,,,,,,,,,,,,,,,
beryldb,BerylDB,"BerylDB is a key-value DBMS that supports storing lists, sets, and maps. It uses RocksDB as its underlying storage manager.",Key/Value,,,https://beryl.dev,https://github.com/beryldb/beryldb,https://docs.beryl.dev/,Beryl Labs,CL,2021.0,,"Hobby,Open Source",C++,"JavaScript,PHP,Python",,,,,,,,,,,,,,,,,,,,,,,,,
bigchaindb,BigchainDB,"BigchainDB is an open-source blockchain database. It is a NoSQL database that has blockchain properties such as immutability, decentralization and owner-controlled asset. Immutability is the property that once the data is stored in BigchainDB, it can’t be modified or erased. Decentralization means there is no single point of failure in the control and storage process of the data. The owner-controlled asset is the property that only the owner of the asset can transfer the asset. The database provides the user with Byzantine Fault Tolerance (BFT) with no more than one-third arbitrary node failures. There are two main layers in BigchainDB, the consensus layer based on Tendermint the and storage layer based on MongoDB.","Key/Value,Document / XML",,,https://www.bigchaindb.com/,https://github.com/bigchaindb/bigchaindb,https://docs.bigchaindb.com/en/latest/,BigchainDB GmbH,DE,2015.0,,"Commercial,Open Source",Python,"JavaScript,Python",,,,,,,,,,,,,,,,,,,,,,,,,
binaryrage,BinaryRage,BinaryRage is an embedded key-value store DBMS written for .NET environments.,Key/Value,,,https://github.com/mchidk/BinaryRage,https://github.com/mchidk/BinaryRage,,Michael Christensen,DK,2012.0,2016.0,"Hobby,Open Source",C#,C#,,,,,,,,,,,,,,,,,,,,,,,,,
bitcask,Bitcask,"Bitcask is an embedded key-value DBMS that uses a log-structured storage format. The system includes a built-in,Redis,compatible server interface.",Key/Value,,,https://prologic.github.io/bitcask/,https://github.com/prologic/bitcask,https://pkg.go.dev/github.com/prologic/bitcask,James Mills,AU,2019.0,,Open Source,Go,Go,,,,,,,,,,,,,,,,,,,,,,,,,
bitsy,Bitsy,"Bitsy is a embeddable in-memory graph database that is compatible with Tinkerpop3. It is based on these design principles: ""No seek"" (avoid disk seeks to maximize write throughput), ""No socket"" (embed within the application to reduce network/OS delays) and ""No SQL"" (leverage graph traversals for faster queries).",Graph,,,http://www.lambdazen.com/,https://github.com/lambdazen/bitsy,https://github.com/lambdazen/bitsy/wiki,LambdaZen LLC,US,2013.0,,Open Source,Java,,,,,,,,,,,,,,,,,,,,,,,,,,
blackray,BlackRay,BlackRay was a relational DBMS designed to offer performance features commonly associated with search engines. The project was abandoned in 2013.,Relational,,,http://www.blackray.org/,http://sourceforge.net/projects/blackray/,,,DE,2005.0,2013.0,"Commercial,Open Source",C++,,,,,,,,,,,,,,,,,,,,,,,,,,
blazegraph,Blazegraph,"Blazegraph is an open-source graph database system written in Java. Blazegraph is supported for use on a standalone server, as well as a highly available (HA) replication cluster. ACID properties are fully supported in both use cases. Blazegraph makes use of multi-version concurrency control (MVCC). As a graph database, Blazegraph is optimal for storing and querying linked data. Blazegraph uses RDF and RDR as the standards for the data model.","Graph,Triplestore (RDF)",,,https://www.blazegraph.com/,https://github.com/blazegraph/database,,"SYSTAP, LLC.",US,2006.0,,"Commercial,Open Source",Java,"C,C++,Java,JavaScript,PHP,Python,Ruby",,,,,,,,,,,,,,,,,,,,,,,,,
blazingsql,BlazingSQL,"BlazingSQL is a distributed GPU-accelerated SQL engine with data lake integration, where data lakes are huge quantities of raw data that are stored in a flat architecture. It is ACID-compliant. BlazingSQL targets ETL workloads and aims to perform efficient read IO and OLAP querying. BlazingDB refers to the company and BlazingSQL refers to the product. It is currently under active development with offices in San Franscisco and Peru.",Relational,,,https://blazingsql.com/,https://github.com/blazingdb/pyBlazing/,https://docs.blazingdb.com/,BlazingDB,PE,2015.0,2021.0,"Commercial,Open Source",C++,SQL,,,,,,,,,,,,,,,,,,,,,,,,,
blinkdb,BlinkDB,"BlinkDB is an approximate query engine built on top of Hive and Shark (""Hive on Spark"", the former Spark SQL). It allows users to trade-off query accuracy for response time, thus enabling interactive queries on big data. BlinkDB builds a couple of stratified samples on the original data and executes the queries on the samples instead of the original data to reduce query execution time. The number and sizes of the stratified samples are limited by the storage budget specified when importing the data. It has two major parts: one is the sample building engine that selects what stratified samples to build by considering historic workloads and the distribution of the data; the other part is a dynamic sample selection module that chooses appropriate sample files at runtime according to specific time/accuracy requirements specified by the query. BlinkDB has a public open source repository on Github. The latest version number is alpha-0.2.0. However, its features are quite limited. For example, instead of automatically creating samples for a dataset, this version supports manual sample creation with explicitly specified sample ratio only.",Relational,,,http://blinkdb.org/,https://github.com/sameeragarwal/blinkdb,,"University of California-Berkeley, Massachusetts Institute of Technology",US,2012.0,2014.0,"Academic,Open Source",,,,,,,,,,,,,,,,,,,,,,,,,,,
blueflood,Blueflood,,,,,http://blueflood.io/,https://github.com/rackerlabs/blueflood,,Rackspace,US,2013.0,,Open Source,Java,,,,,,,,,,,,,,,,,,,,,,,,,,
bojack,BoJack,"BoJack is a single-node key-value store written in Crystal, largely inspired by Redis.",Key/Value,,,https://github.com/marceloboeira/bojack,https://github.com/marceloboeira/bojack,,Marcelo Boeira,DE,2016.0,2018.0,Open Source,Crystal,"Crystal,Elixir,Python,Ruby",,,,,,,,,,,,,,,,,,,,,,,,,
boltdb,BoltDB,BoltDB is an embedded ACID key/value database written in Go. It supports MVCC with shadow paging by allowing only one writer and multiple readers. All transactions execute in BoltDB under serializable isolation. BoltDB stores key/value pairs in B+tree data storage.,Key/Value,,,https://github.com/boltdb/bolt,https://github.com/boltdb/bolt,https://godoc.org/github.com/boltdb/bolt,Ben Johnson,US,2013.0,2017.0,Open Source,Go,Go,,,,,,,,,,,,,,,,,,,,,,,,,
bonsaidb,BonsaiDb,BonsaiDb is a key-value store DBMS written in Rust. It can operate as an embedded DBMS and as a standalone server.,Key/Value,,,https://bonsaidb.io/,https://github.com/khonsulabs/bonsaidb,https://dev.bonsaidb.io/release/guide/,Khonsu Labs,US,2021.0,,Open Source,Rust,,,,,,,,,,,,,,,,,,,,,,,,,,
brightstardb,BrightstarDB,BrightstarDB is a RDF DBMS for the .NET platform.,Triplestore (RDF),,,http://www.brightstardb.com/,https://github.com/BrightstarDB/BrightstarDB,https://brightstardb.readthedocs.io,,GB,2012.0,,Open Source,C#,,,,,,,,,,,,,,,,,,,,,,,,,,
btdb,BTDB,BTDB is an embedded key/value DBMS designed for .NET applications. It also provides an object-oriented API built on top of the key/value interface. This database has nothing to do with BitTorrent.,"Key/Value,Object-Oriented",,,https://github.com/Bobris/BTDB,https://github.com/Bobris/BTDB,,Boris Letocha,CZ,2010.0,,Open Source,C#,C#,,,,,,,,,,,,,,,,,,,,,,,,,
btrdb,BTrDB,"BTrDB (,Berkeley Tree Database,) is a time-series database that uses K-Ary trees to store data.",Relational,,,http://btrdb.io/,https://github.com/BTrDB/btrdb-server,,"University of California, Berkeley",US,2014.0,,"Academic,Open Source",Go,,,,,,,,,,,,,,,,,,,,,,,,,,
bugfruit,bugfruit,bugfruit is a embedded key-value DBMS written in Go.,Key/Value,,Embedded,https://github.com/reesporte/bugfruit,https://github.com/reesporte/bugfruit,,Reese Porter,US,2022.0,,"Hobby,Open Source",Go,,,BSD,,,,,,,,,,,,,,,,,,,,,,,
buntdb,BuntDB,"BuntDB is an embeddable, in-memory key/value database with custom indexing and geospatial support.",Key/Value,,Embedded,https://github.com/tidwall/buntdb,https://github.com/tidwall/buntdb,,Josh Baker,US,2016.0,,Open Source,Go,,,MIT,,,,,,,,,,,,,,,,,,,,,,,
bustub,BusTub,"BusTub is an educational disk-oriented DBMS used for teaching,database courses,at Carnegie Mellon University.",Relational,,,https://github.com/cmu-db/bustub,https://github.com/cmu-db/bustub,,Carnegie Mellon University,US,2019.0,,"Academic,Educational,Open Source",C++,,,MIT,,,,,,,,,,,,,,,,,,,,,,,
c-store,C-Store,"C-Store is a column-oriented DBMS designed for read-optimized OLAP workloads. It adopts a column store architecture, explores various DSM compression schemes and corresponding query optimization strategies, stores data in overlapping collections of projections for both performance and availability, and employs other optimizations specific to column store. (Please delete anything in parenthesis as it is used to point out ambiguity)",Relational,,Shared-Nothing,http://db.csail.mit.edu/projects/cstore/,,,"Massachusetts Institute of Technology, Brown University",US,2005.0,,"Academic,Open Source",C++,,,BSD,,,,,,,,,,,,,,,,,,,,,,,
calvin,Calvin,Calvin is a scalable transactional database system that leverages determinism to guarantee active replication and full ACID-compliance of distributed transactions without two-phase commit.,Relational,,,http://db.cs.yale.edu/calvin/,https://github.com/yaledb/calvin,,Yale University,US,2012.0,,"Academic,Open Source",C++,,,,,,,,,,,,,,,,,,,,,,,,,,
caskdb,CaskDB,CaskDB is an embedded and persistent key-value DBMS. It was built an educational tool for people to learn more about database system implementation.,Key/Value,,Embedded,https://github.com/avinassh/py-caskdb,https://github.com/avinassh/py-caskdb,,Avinash Sajjanshetty,IN,2022.0,,"Educational,Open Source",Python,,,MIT,,,,,,,,,,,,,,,,,,,,,,,
cassandra,Cassandra,"Apache Cassandra is a free and open source NoSQL distributed database management system. It provides high availability, high scalability, and fault tolerance, even while running on commodity hardware. Cassandra has no single-point of failure, and is well-suited for clusters spanning multiple datacenter. Cassandra is decentralized and master-less. Therefore, data in a Cassandra cluster is distributed/partitioned across multiple nodes in the cluster. It provides fault tolerance by asynchronously replicating data across different nodes. Thus, Cassandra is immune to even whole data centers going down. One salient feature of Cassandra is it’s ability to scale linearly in both read and write throughput as the number of nodes grows.","Column Family,Key/Value",,Shared-Nothing,http://cassandra.apache.org/,https://github.com/apache/cassandra,,Apache Software Foundation,US,2008.0,,Open Source,Java,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
castledb,CastleDB,"CastleDB is a structured static DBMS platform designed to make it easier for multiple people to collaborate on a data set. CastleDB stores both its data model and the data contained in the rows in human-readable JSON. This allows users to version control systems, such as Git or Subversion, to diff/merge the data files.",Document / XML,,,http://castledb.org/,https://github.com/ncannasse/castle,,Nicolas Cannasse,FR,2012.0,,Open Source,Haxe,,,ISC License,,,,,,,,,,,,,,,,,,,,,,,
cayley,Cayley,Cayley is an open-source graph database query engine inspired by the Freebase and Google's Knowledge Graph systems.,Triplestore (RDF),,,https://cayley.io/,https://github.com/cayleygraph/cayley,,Google,US,2014.0,,Open Source,Go,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
cdb,cdb,"cdb is a simple package for creating and reading constant (i.e., immutable) databases.",Key/Value,,Shared-Everything,http://cr.yp.to/cdb.html,,,D. J. Bernstein,US,,,Open Source,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,
ceresdb,CeresDB,"CeresDB is a distributed, schema-less, time-series DBMS.",Relational,,,https://github.com/CeresDB/ceresdb,https://github.com/CeresDB/ceresdb,,,CN,2021.0,,Open Source,Rust,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,
